Date,Close/Last,Volume,Open,High,Low
2/15/2024,$245.51 ,1808165,$244.17 ,$247.70 ,$242.19 
2/14/2024,$244.17 ,1623561,$240.72 ,$244.38 ,$239.14 
2/13/2024,$238.00 ,1798271,$231.34 ,$238.52 ,$228.07 
2/12/2024,$234.68 ,2824278,$238.38 ,$239.40 ,$233.36 
2/9/2024,$240.77 ,2049368,$239.55 ,$242.21 ,$238.04 
2/8/2024,$240.01 ,2749044,$238.00 ,$244.29 ,$237.65 
2/7/2024,$240.83 ,4757663,$230.02 ,$243.01 ,$227.52 
2/6/2024,$231.92 ,7779931,$241.01 ,$248.67 ,$228.97 
2/5/2024,$223.25 ,3812138,$220.55 ,$223.83 ,$219.36 
2/2/2024,$222.47 ,1725063,$221.34 ,$224.45 ,$218.57 
2/1/2024,$218.96 ,1174372,$217.25 ,$219.94 ,$216.68 
1/31/2024,$215.35 ,1191662,$214.01 ,$219.52 ,$213.31 
1/30/2024,$217.62 ,1796956,$222.30 ,$224.00 ,$217.46 
1/29/2024,$218.61 ,1287023,$216.00 ,$219.20 ,$214.80 
1/26/2024,$214.29 ,1545406,$213.06 ,$215.07 ,$211.77 
1/25/2024,$214.18 ,1217990,$211.43 ,$214.19 ,$210.34 
1/24/2024,$211.14 ,1896879,$213.00 ,$215.32 ,$209.18 
1/23/2024,$206.71 ,1147980,$205.32 ,$207.49 ,$204.58 
1/22/2024,$205.67 ,1168989,$206.00 ,$208.38 ,$204.22 
1/19/2024,$204.71 ,1323747,$205.93 ,$206.45 ,$202.30 
1/18/2024,$204.82 ,2474536,$200.81 ,$209.88 ,$200.81 
1/17/2024,$198.68 ,3335675,$196.64 ,$199.79 ,$191.88 
1/16/2024,$203.35 ,2141139,$201.16 ,$203.75 ,$198.01 
1/12/2024,$203.03 ,1927777,$200.95 ,$204.03 ,$198.45 
1/11/2024,$200.82 ,2041327,$198.27 ,$200.94 ,$194.66 
1/10/2024,$196.79 ,1860773,$193.25 ,$199.64 ,$193.25 
